inter_arrival_time,request_rate_1min,path_frequency_rank,unique_paths_per_ip,body_bytes,body_bytes_rolling_mean,direction_encoded,process_encoded,method_GET,method_POST,method_PUT,method_DELETE,method_HEAD,method_PATCH,method_OPTIONS
0.0,1.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
0.0,2.0,3,14,0,0.0,1,12,0,0,0,0,1,0,0
0.0,2.0,3,14,480,240.0,1,12,0,0,1,0,0,0,0
15.0,2.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
15.0,3.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
14.0,1.0,5,6,61,61.0,0,15,0,1,0,0,0,0,0
1.0,4.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
1.0,2.0,2,6,0,30.5,0,15,1,0,0,0,0,0,0
1.0,4.0,4,14,30382,10287.333333333334,1,12,0,1,0,0,0,0,0
0.0,4.0,3,14,0,7715.5,1,12,0,0,0,0,1,0,0
1.0,3.0,2,6,0,20.333333333333332,0,15,1,0,0,0,0,0,0
2.0,4.0,2,6,0,15.25,0,15,1,0,0,0,0,0,0
1.0,5.0,6,6,0,12.2,0,15,1,0,0,0,0,0,0
1.0,6.0,7,6,0,10.166666666666666,0,15,1,0,0,0,0,0,0
2.0,7.0,8,6,0,8.714285714285714,0,15,1,0,0,0,0,0,0
2.0,8.0,2,6,0,7.625,0,15,1,0,0,0,0,0,0
4.0,6.0,3,14,0,6172.4,1,12,0,0,0,0,1,0,0
0.0,5.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
0.0,6.0,4,14,37333,11365.833333333334,1,12,0,1,0,0,0,0,0
15.0,5.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
15.0,5.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
15.0,5.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
15.0,5.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
15.0,5.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
1.0,2.0,4,14,26578,13539.0,1,12,0,1,0,0,0,0,0
0.0,2.0,3,14,0,11846.625,1,12,0,0,0,0,1,0,0
14.0,5.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
16.0,4.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
12.0,1.0,5,6,61,13.555555555555555,0,15,0,1,0,0,0,0,0
2.0,2.0,2,6,0,12.2,0,15,1,0,0,0,0,0,0
1.0,4.0,4,14,30711,13942.666666666666,1,12,0,1,0,0,0,0,0
0.0,4.0,1,1,0,0.0,1,3,1,0,0,0,0,0,0
0.0,4.0,3,14,0,12548.4,1,12,0,0,0,0,1,0,0
1.0,3.0,2,6,0,6.1,0,15,1,0,0,0,0,0,0
1.0,4.0,6,6,0,6.1,0,15,1,0,0,0,0,0,0
2.0,5.0,7,6,0,6.1,0,15,1,0,0,0,0,0,0
